Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3733,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,Role-Playing,Rising Star Games,0.33,0.03,0.15,0.03,0.54
9761,Bodycount,PS3,2011,Shooter,Codemasters,0.05,0.06,0,0.02,0.12
10073,Ping Pals,DS,2004,Misc,THQ,0.1,0,0,0.01,0.11
14132,Boulder Dash: Rocks!,DS,2007,Puzzle,10TACLE Studios,0,0.03,0,0,0.03
5364,Skylanders: Trap Team,XOne,2014,Action,Activision,0.25,0.07,0,0.03,0.34
8812,Rudra no Hihou,SNES,1996,Role-Playing,SquareSoft,0,0,0.15,0,0.15
11261,Aibou DS,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0,0.08
13684,Sonic PC Collection,PC,2009,Misc,Sega,0,0.04,0,0.01,0.04
11967,Blast Radius,PS,1998,Action,Psygnosis,0.04,0.03,0,0,0.07
14065,Sins of a Solar Empire: Trinity,PC,2010,Strategy,Kalypso Media,0,0.03,0,0.01,0.04
11432,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08
13732,GoGo's Crazy Bones,DS,2012,Action,GameMill Entertainment,0,0.04,0,0,0.04
9295,World Tour Soccer 2002,PS2,2001,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14
11725,SCORE International Baja 1000: The Official Game,PS3,2008,Racing,Activision,0.07,0,0,0.01,0.08
8098,Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision,0.13,0.04,0,0.01,0.18
2443,Rampage World Tour,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85
15099,Genkai Tokki: Seven Pirates,PSV,2016,Role-Playing,Compile Heart,0,0,0.02,0,0.02
5181,One Piece: Gigant Battle!,DS,2010,Fighting,Namco Bandai Games,0,0,0.36,0,0.36
15088,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,2007,Fighting,Yuke's,0,0,0.02,0,0.02
6325,Wave Rally,PS2,2001,Racing,Eidos Interactive,0.13,0.1,0,0.03,0.27
9699,Solitaire & Mahjong,Wii,2009,Puzzle,Crave Entertainment,0.11,0,0,0.01,0.12
8861,NHL 09,PS2,2008,Sports,Electronic Arts,0.07,0.06,0,0.02,0.15
11377,Dream Day: Wedding Destinations,DS,2009,Simulation,THQ,0.08,0,0,0.01,0.08
842,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0,0.3,2.02
13259,American Bass Challenge,GBA,2001,Sports,Starfish,0.03,0.01,0,0,0.05
3598,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
14205,Diabolik Lovers: More Blood,PSP,2013,Adventure,Idea Factory,0,0,0.03,0,0.03
10795,Glory Days 2,DS,2007,Strategy,Ghostlight,0.08,0,0,0.01,0.1
12020,Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,DS,2010,Action,Namco Bandai Games,0,0,0.07,0,0.07
884,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
2560,Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,N/A,Fighting,Unknown,0,0,0.03,0,0.03
7892,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.11,0.05,0,0.03,0.19
9932,Castlevania: Curse of Darkness,XB,2005,Action,Konami Digital Entertainment,0.09,0.03,0,0,0.12
13679,Imperial Glory,PC,2005,Strategy,Eidos Interactive,0,0.04,0,0,0.04
728,Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0,0.31,2.22
8507,Kid Adventures: Sky Captain,Wii,2010,Action,Unknown,0.11,0.04,0,0.01,0.16
1564,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27
12742,Broken Sword II: The Smoking Mirror,PS,1997,Adventure,Sony Computer Entertainment,0.03,0.02,0,0,0.06
10245,Touch Detective 2 1/2,DS,2007,Adventure,505 Games,0.09,0,0.01,0.01,0.11
8334,Bratz Kidz,Wii,2008,Misc,Game Factory,0.16,0,0,0.01,0.17
1517,Crysis 2,PS3,2011,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3
16394,Handball 16,X360,2015,Sports,Bigben Interactive,0,0.01,0,0,0.01
1133,NCAA Football 2005,PS2,2004,Sports,Electronic Arts,1.32,0.09,0,0.22,1.62
11210,Knights Contract,PS3,2011,Action,Namco Bandai Games,0.04,0.03,0,0.01,0.09
772,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13
13799,Astro Boy: The Video Game,PSP,2009,Action,D3Publisher,0.04,0,0,0,0.04
10614,Bullet Witch,X360,2006,Shooter,Atari,0.07,0.01,0.02,0.01,0.1
694,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3
11674,Pac-Man World 3,PSP,2005,Platform,Namco Bandai Games,0.07,0,0,0.01,0.08
12611,PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,0.05,0,0,0,0.06
4463,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44
6114,Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0,0.01,0.28
3549,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0,0,0.57,0,0.57
13405,City Life: World Edition,PC,2007,Simulation,Monte Christo Multimedia,0,0.04,0,0.01,0.05
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
13590,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,2013,Simulation,Namco Bandai Games,0,0,0.04,0,0.04
7345,UFC Undisputed 2010,PSP,2010,Fighting,THQ,0.11,0.07,0,0.04,0.21
5257,Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0,0.05,0.36
9129,NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,0.13,0,0,0.01,0.14
1515,Adventure,2600,N/A,Adventure,Atari,1.21,0.08,0,0.01,1.3
4753,NBA 2K11,PS2,2010,Action,Take-Two Interactive,0.34,0.01,0,0.06,0.41
8274,Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,0.08,0.07,0,0.02,0.17
640,pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.18,0.54,0.41,2.42
5722,Namco Museum: Virtual Arcade,X360,2008,Misc,Atari,0.27,0.01,0.01,0.02,0.31
2862,MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.66,0,0,0.05,0.71
4929,SSX 3,XB,2003,Sports,Electronic Arts,0.29,0.08,0,0.01,0.39
2451,Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
11900,The Testament of Sherlock Holmes,PC,2012,Adventure,Focus Home Interactive,0,0.06,0,0.01,0.07
15023,Bomberman Story DS,DS,2007,Role-Playing,Rising Star Games,0,0,0.02,0,0.02
13876,Harry Potter and the Order of the Phoenix,PC,2007,Action,Electronic Arts,0,0.03,0,0.01,0.04
4740,Densha De Go! 2,PS,1999,Simulation,Taito,0,0,0.38,0.03,0.41
15259,Pebble Beach Golf Links,SAT,1994,Sports,Sega,0,0,0.02,0,0.02
5661,Riven: The Sequel to Myst,PS,1997,Adventure,Acclaim Entertainment,0.18,0.12,0,0.02,0.32
6991,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,2010,Sports,Sega,0.08,0.13,0,0.03,0.23
6183,Sing Party,WiiU,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.28
12817,Carmen Sandiego: The Secret of the Stolen Drums,PS2,2004,Action,BAM! Entertainment,0.03,0.02,0,0.01,0.06
14334,Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,PS2,2008,Misc,Hackberry,0,0,0.03,0,0.03
16481,Ishin no Arashi: Shippuu Ryuumeden,DS,2010,Strategy,Tecmo Koei,0,0,0.01,0,0.01
12530,Foster's Home for Imaginary Friends: Imagination Invaders,DS,2007,Adventure,Midway Games,0.06,0,0,0,0.06
10390,Warriors Orochi 3,PSP,2012,Action,Ubisoft Annecy,0,0,0.11,0,0.11
8930,F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0,0.03,0.15
2394,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87
13169,Empire Earth,PC,2001,Strategy,Vivendi Games,0,0.04,0,0.01,0.05
6156,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.28
5917,Showdown: Legends of Wrestling,PS2,2004,Fighting,Acclaim Entertainment,0.15,0.11,0,0.04,0.3
12594,Tenchi Muyou! Ryoukouki Gokuraku,SAT,1995,Adventure,Yumedia,0,0,0.06,0,0.06
4633,Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0,0.02,0.42
11456,Horrid Henry's Horrid Adventure,DS,2010,Adventure,Asylum Entertainment,0,0.07,0,0.01,0.08
16090,Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008,Sports,Takara Tomy,0,0,0.01,0,0.01
14875,Battlefield 1942,PC,2002,Shooter,Electronic Arts,0.01,0.01,0,0,0.03
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0,0.04,1.19
11372,Shin Megami Tensei: Digital Devil Saga 2,PS2,2005,Role-Playing,Ghostlight,0.04,0.03,0,0.01,0.08
6395,Batman: Arkham Origins Blackgate,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27
5428,Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.34,0,0.34
5906,Dragon Force,SAT,1996,Strategy,Sega,0,0,0.3,0,0.3
4268,EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,0.46
9675,Criticom,PS,1996,Fighting,Vic Tokai,0.07,0.05,0,0.01,0.12
6885,Juiced 2: Hot Import Nights,DS,2007,Racing,THQ,0.22,0,0,0.02,0.24
7343,Bratz: Forever Diamondz,GC,2006,Adventure,THQ,0.17,0.04,0,0.01,0.21
5918,Capcom Classics Collection Remixed,PSP,2006,Misc,Capcom,0.27,0,0,0.03,0.3
8305,Hanjuku Eiyuu Tai 3D,PS2,2003,Role-Playing,Square Enix,0,0,0.17,0,0.17
13744,Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000,Platform,Infogrames,0.03,0.01,0,0,0.04
3539,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0,0.02,0.57
9327,Queen's Gate: Spiral Chaos,PSP,2011,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14
12942,Winning Post 8,PS3,2014,Racing,Tecmo Koei,0,0,0.05,0,0.05
787,Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
5735,The Matrix: Path of Neo,XB,2005,Action,Atari,0.23,0.07,0,0.01,0.31
12063,Crazy Taxi 2,DC,2001,Racing,Sega,0,0,0.07,0,0.07
1672,Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
3603,Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,0.27,0.23,0,0.06,0.56
2086,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0,0.03,0.99
2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
5214,Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,Activision,0.26,0.1,0,0.01,0.36
7741,Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0,0.01,0.19
15462,Coded Soul: Uke Keigareshi Idea,PSP,2008,Role-Playing,Sony Computer Entertainment,0,0,0.02,0,0.02
1325,Tamagotchi,GB,1996,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45
9907,Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12
2007,Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,0.53,0.46,0,0.05,1.04
2677,Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,0.55,0.2,0,0.01,0.77
14241,Prince of Persia: The Forgotten Sands,PC,2010,Action,Ubisoft,0,0.03,0,0,0.03
10973,New Legends,XB,2002,Action,THQ,0.07,0.02,0,0,0.09
12616,Dance Sensation!,Wii,2010,Misc,Majesco Entertainment,0.06,0,0,0,0.06
7910,Pet Zombies,3DS,N/A,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19
11102,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,Misc,Hudson Soft,0,0,0.09,0,0.09
8491,Guilty Gear Judgment,PSP,2006,Fighting,Majesco Entertainment,0.13,0,0.02,0.01,0.16
570,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65
16220,Far East of Eden II: Manji Maru,DS,2006,Role-Playing,Hudson Soft,0,0,0.01,0,0.01
16317,Really? Really! DS,DS,2009,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
9569,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.09,0.03,0,0,0.13
5871,The Sims 2,PC,2004,Simulation,Electronic Arts,0.02,0.24,0,0.05,0.3
2707,Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0,0.01,0.76
13330,Pool Party,Wii,2007,Sports,SouthPeak Games,0.04,0,0,0,0.05
14394,Timmy Time,DS,2011,Action,Avanquest,0,0.03,0,0,0.03
9163,International Cricket 2010,X360,2010,Sports,Codemasters,0,0.12,0,0.02,0.14
2304,Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9
2644,Tetris Party Deluxe,DS,2010,Puzzle,Nintendo,0.29,0.3,0.12,0.07,0.78
13842,Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,DS,2005,Misc,Namco Bandai Games,0,0,0.04,0,0.04
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
786,Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0,0.15,2.11
7574,Captain America: Super Soldier,PS3,2011,Action,Sega,0.1,0.07,0,0.03,0.2
2388,Pictionary,Wii,2010,Puzzle,THQ,0.61,0.19,0,0.07,0.87
3681,Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,0.39,0.14,0,0.02,0.55
10036,Ultimate Mortal Kombat,DS,2007,Fighting,Midway Games,0.09,0.01,0,0.01,0.11
2805,Croc 2,PS,1999,Platform,Fox Interactive,0.41,0.28,0,0.05,0.73
7489,Bugs Bunny & Taz: Time Busters,PS,2000,Adventure,Infogrames,0.11,0.08,0,0.01,0.21
5941,Future Cop L.A.P.D.,PS,1997,Simulation,Electronic Arts,0.16,0.11,0,0.02,0.3
10963,Transformers: Devastation,X360,2015,Action,Activision,0.06,0.02,0,0.01,0.09
7235,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002,Misc,Acclaim Entertainment,0.11,0.08,0,0.03,0.22
6948,Silent Hill: Book of Memories,PSV,2012,Action,Konami Digital Entertainment,0.13,0.06,0,0.04,0.24
10579,Project Hacker: Kakusei,DS,2006,Action,Nintendo,0,0,0.1,0,0.1
12708,Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,2006,Misc,Sega,0,0,0.06,0,0.06
577,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2,0.47,0.02,0.14,2.63
2667,Need For Speed: Undercover,PSP,2008,Racing,Electronic Arts,0.23,0.32,0.03,0.19,0.77
11831,Beyond Good & Evil,GC,2003,Adventure,Ubisoft,0.06,0.01,0,0,0.07
2522,Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,0.4,0.31,0,0.1,0.82
12626,Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,0.04,0.01,0,0,0.06
2557,NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0,0,0.06,0.81
7393,HBO Boxing,PS,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21
9343,MLB Power Pros 2008,Wii,2008,Sports,Konami Digital Entertainment,0.12,0,0.01,0.01,0.13
6562,X-Men vs. Street Fighter,SAT,1997,Fighting,Capcom,0,0,0.26,0,0.26
8791,Kidou Senkan Nadesico,SAT,1997,Strategy,Sega,0,0,0.15,0,0.15
5674,Live A Live,SNES,1994,Role-Playing,SquareSoft,0,0,0.32,0,0.32
9107,Fur Fighters: Viggo's Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0.05,0,0.02,0.14
15698,Dungeons - The Dark Lord,PC,2011,Strategy,Kalypso Media,0,0.01,0,0,0.02
5667,Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,Square Enix,0,0,0.32,0,0.32
2138,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0,0.08,0.97
2066,SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0,1
12500,Flipnic: Ultimate Pinball,PS2,2003,Misc,Ubisoft,0.03,0.02,0,0.01,0.06
1682,NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0,0.15,1.2
2944,The LEGO Movie Videogame,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69
13229,Reign of Fire,GBA,2002,Shooter,BAM! Entertainment,0.03,0.01,0,0,0.05
12748,TOCA Race Driver 2: Ultimate Racing Simulator,PS2,2004,Racing,Codemasters,0.03,0.02,0,0.01,0.06
3042,Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0,0.02,0.67
7829,Allied General,PS,1996,Strategy,SSI,0.11,0.07,0,0.01,0.19
7964,SD Gundam GX,SNES,1994,Strategy,Namco Bandai Games,0,0,0.19,0,0.19
8256,Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games,0,0,0.17,0,0.17
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
4887,NHL 99,N64,1998,Sports,Electronic Arts,0.38,0.01,0,0,0.39
4963,Auto Modellista,PS2,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39
6005,Def Jam Rapstar,X360,2010,Misc,Konami Digital Entertainment,0.25,0.03,0,0.02,0.29
9138,Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0,0.01,0.14
5174,Resident Evil Zero,PS4,2016,Action,Capcom,0.09,0.17,0.05,0.05,0.36
5629,SimAnimals,Wii,2009,Simulation,Electronic Arts,0.15,0.14,0,0.03,0.32
1977,UFC Undisputed 3,PS3,2012,Action,THQ,0.55,0.34,0.03,0.13,1.05
1188,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,1.56
13753,Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,0,0.03,0,0.01,0.04
8706,Senran Kagura: Sh?jo-tachi no Shinei,3DS,2011,Action,Marvelous Interactive,0,0,0.16,0,0.16
12428,Devil's Third,WiiU,2015,Action,Nintendo,0.04,0.02,0,0.01,0.06
4513,NBA Jam,Wii,2010,Sports,Electronic Arts,0.38,0.03,0,0.03,0.43
4188,Bomberman Hero,N64,1998,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47
5739,Tiny Toon Adventures: The Great Beanstalk,PS,1998,Misc,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31
4792,Sega Superstars Tennis,PS3,2008,Sports,Sega,0.13,0.2,0,0.08,0.4
7409,Cabela's Deer Hunt: 2004 Season,XB,2003,Sports,Activision Value,0.16,0.05,0,0.01,0.21
11440,Diego's Build & Rescue,DS,2010,Action,Take-Two Interactive,0.07,0,0,0.01,0.08
3896,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0,0.05,0.51
6113,Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,0,0,0.28,0,0.28
9318,Deepak Chopra's Leela,Wii,2011,Misc,THQ,0.11,0.01,0,0.01,0.14
8496,True Swing Golf,DS,2005,Sports,Nintendo,0.11,0,0.04,0.01,0.16
6654,Up,PS3,2009,Action,THQ,0.15,0.07,0,0.03,0.25
7686,Tetris Worlds (Online Edition),XB,2003,Puzzle,THQ,0.15,0.04,0,0.01,0.2
7595,Press Your Luck 2010 Edition,DS,2009,Misc,Ubisoft,0.19,0,0,0.01,0.2
6989,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0,0.02,0.23
3689,LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.32,0,0.1,0.54
1909,Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08
6060,"Sakura Wars 4: Koi Seyo,Otome",DC,2002,Adventure,Sega,0,0,0.29,0,0.29
14034,RLH: Run Like Hell,XB,2003,Shooter,Avalon Interactive,0.03,0.01,0,0,0.04
3314,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0,0,0.05,0.61
8273,Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,0.13,0.04,0,0.01,0.17
5038,The Incredible Hulk,PS2,2008,Action,Sega,0.32,0.01,0,0.05,0.38
13309,World Championship Pool 2004,PS2,2004,Sports,Jaleco,0.02,0.02,0,0.01,0.05
13819,Ookami to Koushinryou: Boku to Horo no Ichinen,DS,2008,Adventure,ASCII Media Works,0,0,0.04,0,0.04
3857,J-League Pro Soccer Club o Tsukurou! 3,PS2,2003,Sports,Sega,0,0,0.52,0,0.52
15028,Future Tactics: The Uprising,GC,2004,Strategy,JoWood Productions,0.02,0,0,0,0.02
11775,Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0,0,0.07,0,0.07
5380,Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0,0.04,0.34
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
7255,Yoostar2,X360,2011,Misc,Unknown,0.11,0.09,0,0.02,0.22
2020,NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,0.5,0.39,0,0.13,1.03
5456,Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33
3873,The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts,0.46,0.05,0,0,0.52
6352,Tales of Eternia,PSP,2005,Role-Playing,Ubisoft,0,0.01,0.25,0.01,0.27
14085,Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04
12408,Densha De Go! 3 Tsuukinhen,PS2,2001,Simulation,Taito,0,0,0.06,0,0.06
8619,Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0,0,0.16,0,0.16
14441,Bad Apple Wars,PSV,2015,Action,Idea Factory,0,0,0.03,0,0.03
14386,Hearts of Iron IV,PC,2016,Strategy,Paradox Interactive,0,0.03,0,0,0.03
11921,Monster Rancher Battle Card: Episode II,PS,2000,Action,Tecmo Koei,0.04,0.03,0,0,0.07
3759,Jewel Master Egypt,DS,2009,Puzzle,Rondomedia,0.21,0.27,0,0.05,0.53
12979,Mr Bean's Wacky World of Wii,Wii,2009,Adventure,Blast! Entertainment Ltd,0,0.05,0,0,0.05
971,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.52,0.88,0.06,0.34,1.79
9133,Onimusha Essentials,PS2,2008,Action,Capcom,0.07,0.05,0,0.02,0.14
11450,Smuggler's Run: Warzones,GC,2002,Misc,Take-Two Interactive,0.06,0.02,0,0,0.08
3222,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.31,0.25,0,0.06,0.63
7560,Pitfall: The Lost Expedition,PS2,2004,Platform,Activision,0.1,0.08,0,0.03,0.2
16314,Space Hulk,PSV,2015,Strategy,Funbox Media,0,0.01,0,0,0.01
13010,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,Swing! Entertainment,0.03,0.02,0,0,0.05
2646,Worms: Open Warfare,PSP,2006,Strategy,THQ,0.11,0.43,0,0.24,0.78
4221,Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.43,0.01,0,0.03,0.47
2532,Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.07,0.82
4949,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ,0.24,0.11,0,0.04,0.39
10745,Touch Detective,DS,2006,Adventure,505 Games,0.06,0.03,0,0.01,0.1
3056,The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
13453,Short Track Racing: Trading Paint,PS2,2009,Racing,THQ,0.02,0.02,0,0.01,0.05
7354,MTV Celebrity Deathmatch,XB,2003,Fighting,Gotham Games,0.16,0.05,0,0.01,0.21
1253,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5
220,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
13555,The King of Fighters Kyo,PS,1998,Fighting,SNK Playmore,0,0,0.04,0,0.04
10941,WSC Real 11: World Snooker Championship,PS3,2011,Sports,Koch Media,0,0.07,0,0.02,0.09
15182,Mata Hari: Betrayal is only a Kiss Away,PC,2008,Adventure,DTP Entertainment,0,0.02,0,0,0.02
11112,Battle Stadium D.O.N,GC,2006,Fighting,Namco Bandai Games,0,0,0.09,0,0.09
13443,LEGO Friends,3DS,2013,Action,Warner Bros. Interactive Entertainment,0,0.04,0,0,0.05
14907,Doki Oki,PS,1995,Adventure,Banpresto,0,0,0.02,0,0.03
1950,Sleeping Dogs,PS3,2012,Action,Square Enix,0.31,0.5,0.05,0.19,1.06
6847,PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive,0.02,0.21,0,0.01,0.24
13230,Worms Reloaded,PC,2010,Strategy,Team17 Software,0,0.04,0,0.01,0.05
4910,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39
13867,Colin McRae Rally 3,XB,2002,Racing,Codemasters,0.03,0.01,0,0,0.04
4558,Midway Arcade Treasures,XB,2003,Misc,Midway Games,0.33,0.08,0,0.01,0.43
2405,Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.52,0,0.23,0.87
509,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
3562,True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0,0.02,0.56
15136,RedCard 20-03,GC,2002,Sports,Midway Games,0.02,0,0,0,0.02
14099,Luminous Arc 3,DS,2009,Role-Playing,Marvelous Interactive,0,0,0.04,0,0.04
5577,Overlord II,X360,2009,Action,Codemasters,0.15,0.14,0,0.03,0.32
7576,The Fairly Odd Parents: Shadow Showdown,GC,2004,Platform,THQ,0.16,0.04,0,0.01,0.2
